,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,srednia_ocena,obsluga_ocena,klimat_ocena,trudnosc_wg_graczy,podstawowe1,podstawowe2,podstawowe3,podstawowe4,podstawowe5,podstawowe6,podstawowe7,podstawowe8,podstawowe9,podstawowe10,podstawowe11,podstawowe12,podstawowe13,podstawowe14,podstawowe15,podstawowe16,podstawowe17,podstawowe18,podstawowe19,podstawowe20,bezpieczeństwo1,bezpieczeństwo2,bezpieczeństwo3,bezpieczeństwo4,bezpieczeństwo5,bezpieczeństwo6,bezpieczeństwo7,bezpieczeństwo8,bezpieczeństwo9,bezpieczeństwo10,bezpieczeństwo11,bezpieczeństwo12,bezpieczeństwo13,jezyki1,jezyki2,jezyki3,jezyki4
0,Cicha Noc,Gliwice,TickTack,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,84 opinie,Polska: 1. miejsce,10,"Obsługa:
10/10","Klimat:
10/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,polski,NAN,NAN,NAN
1,Powstanie Warszawskie,Warszawa,Black Cat Escape Room,2-8 osób,80 minut,Historyczny,śr. zaawansowani,256 opinii,Polska: 2. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,angielski,polski,NAN,NAN
2,Lokalizacja,Gliwice,TickTack,2-5 osób,75 minut,Fabularny,doświadczony,270 opinii,Polska: 3. miejsce,10,"Obsługa:
10/10","Klimat:
10/10","Trudność wg. graczy:
Trudny",Pokój eliminacyjny Poland Escape,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
3,Opuszczony Hotel,Wrocław,Exit19.pl,2-5 osób,101 minut,Thriller,śr. zaawansowani,56 opinii,Polska: 4. miejsce,9 .9,"Obsługa:
9,9/10","Klimat:
10/10","Trudność wg. graczy:
Średni",Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,angielski,polski,NAN,NAN
4,Rastamobil,Wrocław,Escape Bus / Escapeo,2-4 osoby,90 minut,Przygodowy,śr. zaawansowani,96 opinii,Polska: 5. miejsce,9 .9,"Obsługa:
10/10","Klimat:
10/10","Trudność wg. graczy:
Średni",Klimatyzowany,Od 18 lat,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,Dezynfekcja lampami UVC,NAN,NAN,polski,NAN,NAN,NAN
5,Krasnoludy,Poznań,Escapelandia,2-4 osoby,75 minut,Przygodowy,śr. zaawansowani,90 opinii,Polska: 6. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,Moriarty sp. z o.o.,Katowice,Quest Cage,2-5 osób,75 minut,Fabularny,śr. zaawansowani,433 opinie,Polska: 7. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7,Klątwa Czarnobrodego,Bydgoszcz,Mr Lock Escape Room,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,116 opinii,Polska: 8. miejsce,9 .8,"Obsługa:
9,9/10","Klimat:
9,9/10","Trudność wg. graczy:
Trudny",Przyjazny dzieciom,Klimatyzowany,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
8,Superheroom,Bydgoszcz,Mr Lock Escape Room,2-5 osób,70 minut,Przygodowy,śr. zaawansowani,409 opinii,Polska: 9. miejsce,9 .8,"Obsługa:
10/10","Klimat:
9,9/10","Trudność wg. graczy:
Trudny",Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
9,Lochy Króla Artura,Wrocław,Exit19.pl,2-5 osób,90 minut,Przygodowy,śr. zaawansowani,158 opinii,Polska: 10. miejsce,9 .8,"Obsługa:
9,5/10","Klimat:
9,9/10","Trudność wg. graczy:
Trudny",Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,Pokój eliminacyjny Poland Escape,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
