,nazwa,miasto,firma,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,języki_rosyjski,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_możesz_kupić_tutaj_escape_tales,podstawowe_półmrok_w_pokoju,podstawowe_nie_dla_epileptyków,podstawowe_bardzo_wąskie_przejścia,bezpieczeństwo_dezynfekcja_lampami_uvc,podstawowe_gra_bez_aktora,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,podstawowe_pokój_eliminacyjny_poland_escape,inne_prawdziwy_mistrz_gry,bezpieczeństwo_przycisk_bezpieczeństwa,języki_słowacki,języki_czeski,podstawowe_nie_dla_osób_z_chorobami_serca,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,podstawowe_od_18_lat,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_przyjazny_niepełnosprawnym,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy,min_liczba_graczy,max_liczba_graczy
0,Cicha Noc,Gliwice,TickTack,75 ,Przygodowy,śr. zaawansowani,85 ,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,10,10.0,10.0,Średni,2,5 
1,Powstanie Warszawskie,Warszawa,Black Cat Escape Room,80 ,Historyczny,śr. zaawansowani,258 ,2,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,9.8,9.8,10.0,Trudny,2,8 
2,Lokalizacja,Gliwice,TickTack,75 ,Fabularny,doświadczony,271 ,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,10,10.0,10.0,Trudny,2,5 
3,Opuszczony Hotel,Wrocław,Exit19.pl,101 ,Thriller,śr. zaawansowani,57 ,4,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,9.9,9.9,10.0,Średni,2,5 
4,Rastamobil,Wrocław,Escape Bus / Escapeo,90 ,Przygodowy,śr. zaawansowani,98 ,5,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,9.9,10.0,10.0,Średni,2,4 
5,Krasnoludy,Poznań,Escapelandia,75 ,Przygodowy,śr. zaawansowani,91 ,6,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,9.9,10.0,10.0,Średni,2,4 
6,Moriarty sp. z o.o.,Katowice,Quest Cage,75 ,Fabularny,śr. zaawansowani,434 ,7,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,9.8,9.9,9.9,Trudny,2,5 
7,Klątwa Czarnobrodego,Bydgoszcz,Mr Lock Escape Room,60 ,Przygodowy,śr. zaawansowani,117 ,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,9.8,9.9,9.9,Trudny,2,4 
8,Superheroom,Bydgoszcz,Mr Lock Escape Room,70 ,Przygodowy,śr. zaawansowani,410 ,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,9.8,10.0,9.9,Trudny,2,5 
9,Lochy Króla Artura,Wrocław,Exit19.pl,90 ,Przygodowy,śr. zaawansowani,159 ,10,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,9.8,9.5,9.9,Trudny,2,5 
10,Rodzina Addamsów,Wrocław,HURRY UP,90 ,Przygodowy,śr. zaawansowani,110 ,11,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,9.8,10.0,10.0,Trudny,2,4 
11,W cieniu piramid,Warszawa,Wyjście Awaryjne,60 ,Przygodowy,śr. zaawansowani,218 ,12,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,9.8,9.7,9.9,Średni,2,5 
12,Serce Ozyrysa,Kraków,Escape Kraków,90 ,Przygodowy,doświadczony,77 ,14,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,9.7,9.8,9.7,Trudny,2,5 
13,Seria Niefortunnych Zagadek,Pszczyna,Cinema Escape,75 ,Fabularny,śr. zaawansowani,218 ,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,9.8,9.9,10.0,Średni,3,6 
14,Operacja: Metro,Bydgoszcz,Wyjście Awaryjne,75 ,Przygodowy,śr. zaawansowani,133 ,15,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,9.8,9.8,10.0,Trudny,2,5 
15,Expecto Patronum!,Gdańsk,Escape Time,75 ,Przygodowy,śr. zaawansowani,83 ,16,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,9.7,9.9,10.0,Średni,2,6 
16,Osobowość,Poznań,Continuum,75 ,Kryminalny,doświadczony,142 ,17,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,9.7,9.9,9.9,Trudny,2,4 
17,Wikingowie · Amulety Mocy,Poznań,ESCAPE ARENA,75 ,Przygodowy,śr. zaawansowani,176 ,18,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,9.8,10.0,9.9,Trudny,2,5 
18,Katakumby,Warszawa,Zagadkownia,75 ,Thriller,początkujący,61 ,19,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,9.7,9.9,10.0,Średni,2,6 
19,Przeklęta wyspa,Warszawa,Escape Project,60 ,Przygodowy,śr. zaawansowani,259 ,20,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,9.7,9.7,9.9,Średni,2,6 
20,Nieznajomi,Poznań,Continuum,75 ,Horror,śr. zaawansowani,111 ,21,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,9.7,9.9,9.8,Średni,2,4 
21,Testament,Rybnik,Set Me Free,75 ,Przygodowy,doświadczony,54 ,22,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,9.9,10.0,10.0,Trudny,2,4 
22,Tajemnicze Domostwo,Poznań,DreamScape,75 ,Thriller,doświadczony,66 ,23,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,9.8,10.0,10.0,Trudny,2,4 
23,Chłopiec,Rybnik,Set Me Free,75 ,Fabularny,śr. zaawansowani,20 ,24,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,9.9,10.0,10.0,Średni,2,5 
24,Pachnidło,Gdańsk,Escape Time,75 ,Thriller,śr. zaawansowani,92 ,25,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,9.7,9.9,9.8,Trudny,2,6 
25,Obłęd,Wrocław,Exit19.pl,90 ,Thriller,śr. zaawansowani,293 ,26,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,9.7,9.7,9.8,Trudny,2,6 
26,Golden Hajs,Poznań,Escapelandia,75 ,Przygodowy,doświadczony,147 ,27,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,9.7,9.9,9.8,Trudny,2,5 
27,American School Story,Wrocław,Fox O'clock,90 ,Thriller,doświadczony,128 ,28,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,9.7,9.9,9.9,Trudny,2,5 
28,Dom pogrzebowy,Poznań,Escapelandia,60 ,Przygodowy,śr. zaawansowani,159 ,29,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,9.6,9.8,9.9,Trudny,2,5 
29,W cieniu piramid,Bydgoszcz,Wyjście Awaryjne,60 ,Przygodowy,śr. zaawansowani,301 ,30,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,9.7,9.8,10.0,Trudny,2,5 
30,Porwany Samolot,Wrocław,Escape Bus / Escapeo,90 ,Thriller,śr. zaawansowani,285 ,31,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,9.7,10.0,9.8,Trudny,2,4 
31,Szum,Poznań,Continuum,75 ,Thriller,śr. zaawansowani,118 ,32,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,9.8,9.9,9.9,Trudny,2,5 
32,Koneser,Poznań,DreamScape,75 ,Przygodowy,śr. zaawansowani,206 ,33,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,9.7,9.8,9.8,Trudny,2,5 
33,Sekret dziadka,Poznań,Escapelandia,75 ,Fabularny,doświadczony,241 ,34,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,9.7,10.0,9.8,Trudny,2,5 
34,Muzeum okultyzmu Państwa Warren,Warszawa,Exciting Escape Room,90 ,Horror,doświadczony,97 ,35,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,9.6,9.9,9.8,Trudny,2,5 
35,Freakshow,Bydgoszcz,Break The Brain,60 ,Thriller,początkujący,178 ,36,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,9.7,9.9,9.9,Średni,2,4 
36,Sztukmistrz z dzielnicy Muveszet,Warszawa,Mysterious Room,90 ,Fabularny,śr. zaawansowani,61 ,37,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,9.5,9.8,9.9,Trudny,2,5 
37,Galaktyka Tajemnic,Poznań,ESCAPE ARENA,75 ,Przygodowy,śr. zaawansowani,127 ,38,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,9.7,9.9,9.8,Średni,2,5 
38,Urok,Poznań,DreamScape,75 ,Przygodowy,śr. zaawansowani,109 ,39,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,9.7,9.9,9.7,Średni,2,5 
39,Dooby Doo,Wrocław,Fox O'clock,90 ,Thriller,doświadczony,242 ,40,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,9.6,9.9,9.8,Trudny,2,5 
40,Ale Sztuka!,Chorzów,LOFTescape,60 ,Fabularny,śr. zaawansowani,51 ,41,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,9.5,9.8,9.8,Trudny,2,4 
41,Legenda Miecza,Warszawa,Wyjście Awaryjne,60 ,Przygodowy,początkujący,342 ,42,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,9.5,9.7,9.7,Średni,2,5 
42,Tajemnica Władcy Nilu,Bydgoszcz,Wyjście Awaryjne,60 ,Przygodowy,początkujący,167 ,43,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,9.3,9.5,9.8,Średni,2,5 
43,Wehikuł Czasu - Tajemnica Leonarda,Wrocław,Exit19.pl,90 ,Przygodowy,śr. zaawansowani,76 ,44,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,9.5,9.7,10.0,Trudny,2,5 
44,Kuźnia Krasnoluda,Gdynia,Escape Me Gdynia,75 ,Fantasy,doświadczony,31 ,45,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,9.8,10.0,10.0,Trudny,2,4 
