,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,wazne1_1,wazne1_2,wazne1_3,wazne1_4,wazne1_5,wazne1_6,wazne1_7,wazne1_8,wazne1_9,wazne1_10,wazne1_11,wazne1_12,wazne1_13,wazne1_14,wazne1_15,wazne1_16,wazne1_17,wazne1_18,wazne1_19,wazne1_20,wazne2_1,wazne2_2,wazne2_3,wazne2_4,wazne2_5,wazne2_6,wazne2_7,wazne2_8,wazne2_9,wazne2_10,wazne2_11,wazne2_12,wazne2_13,wazne2_14,wazne2_15,wazne2_16,wazne2_17,wazne2_18,wazne2_19,wazne2_20,wazne3_1,wazne3_2,wazne3_3,wazne3_4,wazne3_5,wazne3_6,wazne3_7,wazne3_8,wazne3_9,wazne3_10,wazne3_11,wazne3_12,wazne3_13,wazne3_14,wazne3_15,wazne3_16,wazne3_17,wazne3_18,wazne3_19,wazne3_20,oceny
0,Cicha Noc,Gliwice,TickTack,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,85 opinii,Polska: 1. miejsce,Przyjazny dzieciom,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"10
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
85"
1,Powstanie Warszawskie,Warszawa,Black Cat Escape Room,2-8 osób,80 minut,Historyczny,śr. zaawansowani,258 opinii,Polska: 2. miejsce,Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
9,8/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
258"
2,Lokalizacja,Gliwice,TickTack,2-5 osób,75 minut,Fabularny,doświadczony,271 opinii,Polska: 3. miejsce,Pokój eliminacyjny Poland Escape,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"10
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
271"
3,Opuszczony Hotel,Wrocław,Exit19.pl,2-5 osób,101 minut,Thriller,śr. zaawansowani,57 opinii,Polska: 4. miejsce,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .9
Obsługa:
9,9/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
57"
4,Rastamobil,Wrocław,Escape Bus / Escapeo,2-4 osoby,90 minut,Przygodowy,śr. zaawansowani,98 opinii,Polska: 5. miejsce,Klimatyzowany,Od 18 lat,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,Dezynfekcja lampami UVC,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .9
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
98"
5,Krasnoludy,Poznań,Escapelandia,2-4 osoby,75 minut,Przygodowy,śr. zaawansowani,91 opinii,Polska: 6. miejsce,Przyjazny dzieciom,Możliwość płatności kartą,Nie dla epileptyków,Bardzo wąskie przejścia,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .9
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
91"
6,Moriarty sp. z o.o.,Katowice,Quest Cage,2-5 osób,75 minut,Fabularny,śr. zaawansowani,434 opinie,Polska: 7. miejsce,Klimatyzowany,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
434"
7,Klątwa Czarnobrodego,Bydgoszcz,Mr Lock Escape Room,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,117 opinii,Polska: 8. miejsce,Przyjazny dzieciom,Klimatyzowany,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
117"
8,Superheroom,Bydgoszcz,Mr Lock Escape Room,2-5 osób,70 minut,Przygodowy,śr. zaawansowani,410 opinii,Polska: 9. miejsce,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
10/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
410"
9,Lochy Króla Artura,Wrocław,Exit19.pl,2-5 osób,90 minut,Przygodowy,śr. zaawansowani,159 opinii,Polska: 10. miejsce,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,Pokój eliminacyjny Poland Escape,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
9,5/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
159"
